,product_name,product_price,product_image,product_image_1,product_image_2,search_text
112,CHINA - REGINA, ,https://partyperfect.com/itemimages/8785t.jpg,https://partyperfect.com/itemimages/8785-1.jpg,https://partyperfect.com/itemimages/8785-1.jpg,CHINA_RENTALS
113,CHINA - WHITE JULIA, ,https://partyperfect.com/itemimages/8800t.jpg,https://partyperfect.com/itemimages/8800-1.jpg,https://partyperfect.com/itemimages/8800-1.jpg,CHINA_RENTALS
114,"Heirloom Linen Dinner Plate 10.75""",$0.71 ,https://partyperfect.com/itemimages/9312t.jpg,https://partyperfect.com/itemimages/9312-1.jpg,https://partyperfect.com/itemimages/9312-1.jpg,CHINA_RENTALS
115,"Heirloom Linen Salad Plate 8""",$0.71 ,https://partyperfect.com/itemimages/9311t.jpg,https://partyperfect.com/itemimages/9311-1.jpg,https://partyperfect.com/itemimages/9311-1.jpg,CHINA_RENTALS
116,"Heirloom Smoke Dinner Plate 10.75""",$0.71 ,https://partyperfect.com/itemimages/9314t.jpg,https://partyperfect.com/itemimages/9314-1.jpg,https://partyperfect.com/itemimages/9314-1.jpg,CHINA_RENTALS
117,"Heirloom Smoke Salad Plate 8""",$0.71 ,https://partyperfect.com/itemimages/9313t.jpg,https://partyperfect.com/itemimages/9313-1.jpg,https://partyperfect.com/itemimages/9313-1.jpg,CHINA_RENTALS
118,Square Deep Dish Platter,$1.47 ,https://partyperfect.com/itemimages/1228t.jpg,https://partyperfect.com/itemimages/1228-1.jpg,https://partyperfect.com/itemimages/1228-1.jpg,CHINA_RENTALS
119,Triangular White Salad Plate,$0.63 ,https://partyperfect.com/itemimages/1233t.jpg,https://partyperfect.com/itemimages/1233-1.jpg,https://partyperfect.com/itemimages/1233-1.jpg,CHINA_RENTALS
120,White Asian Spoon,$0.48 ,https://partyperfect.com/itemimages/1249t.jpg,https://partyperfect.com/itemimages/1249-1.jpg,https://partyperfect.com/itemimages/1249-1.jpg,CHINA_RENTALS
121,White Demitasse Cup,$0.48 ,https://partyperfect.com/itemimages/8276t.jpg,https://partyperfect.com/itemimages/8276-1.jpg,https://partyperfect.com/itemimages/8276-1.jpg,CHINA_RENTALS
122,White Demitasse Saucer,$0.48 ,https://partyperfect.com/itemimages/1235t.jpg,https://partyperfect.com/itemimages/1235-1.jpg,https://partyperfect.com/itemimages/1235-1.jpg,CHINA_RENTALS
123,White Square Soup Bowl,$0.48 ,https://partyperfect.com/itemimages/1234t.jpg,https://partyperfect.com/itemimages/1234-1.jpg,https://partyperfect.com/itemimages/1234-1.jpg,CHINA_RENTALS
124,White W/ Gold Rim Bread &amp; Butter Plate,$0.63 ,https://partyperfect.com/itemimages/1200t.jpg,https://partyperfect.com/itemimages/1200-1.jpg,https://partyperfect.com/itemimages/1200-1.jpg,CHINA_RENTALS
125,White W/ Gold Rim Coffee Cup,$0.63 ,https://partyperfect.com/itemimages/1201t.jpg,https://partyperfect.com/itemimages/1201-1.jpg,https://partyperfect.com/itemimages/1201-1.jpg,CHINA_RENTALS
