product_name,product_price,product_image,product_image_1,product_image_2,search_text
"13"" Gold Lacquer Charger",$0.92 ,https://partyperfect.com/itemimages/8291t.jpg,https://partyperfectcom/itemimages/8291-1.jpg,https://partyperfectcom/itemimages/8292-,CHINA_RENTALS
"13"" Rose Gold Lacquer Charger",$0.92 ,https://partyperfect.com/itemimages/9261t.jpg,https://partyperfectcom/itemimages/9261-1.jpg,https://partyperfectcom/itemimages/9262-,CHINA_RENTALS
"13"" Silver Lacquer Charger",$0.92 ,https://partyperfect.com/itemimages/8632t.jpg,https://partyperfectcom/itemimages/8632-1.jpg,https://partyperfectcom/itemimages/8632-2.jpg,CHINA_RENTALS
"14.25"" X 7.5"" White Ceramic Platter",$8.16 ,https://partyperfect.com/itemimages/8933t.jpg,https://partyperfectcom/itemimages/8933-1.jpg,https://partyperfectcom/itemimages/8933-2.jpg,CHINA_RENTALS
"17"" X 15"" White Ceramic Platter",$9.24 ,https://partyperfect.com/itemimages/8803t.jpg,https://partyperfectcom/itemimages/8803-1.jpg,https://partyperfectcom/itemimages/8803-2.jpg,CHINA_RENTALS
"18"" X 11"" White Ceramic Platter",$9.24 ,https://partyperfect.com/itemimages/1227t.jpg,https://partyperfectcom/itemimages/1227-1.jpg,https://partyperfectcom/itemimages/2227-,CHINA_RENTALS
"18"" X 8.75"" White Ceramic Platter",$9.24 ,https://partyperfect.com/itemimages/8934t.jpg,https://partyperfectcom/itemimages/8934-1.jpg,https://partyperfectcom/itemimages/8934-2.jpg,CHINA_RENTALS
"21"" X 13"" White Ceramic Platter",$9.24 ,https://partyperfect.com/itemimages/8935t.jpg,https://partyperfectcom/itemimages/8935-1.jpg,https://partyperfectcom/itemimages/8935-2.jpg,CHINA_RENTALS
4oz White Bouillon Soup Cup,$0.48 ,https://partyperfect.com/itemimages/1224t.jpg,https://partyperfectcom/itemimages/1224-1.jpg,https://partyperfectcom/itemimages/2224-,CHINA_RENTALS
6 Oz White Ramekin,$0.48 ,https://partyperfect.com/itemimages/1242t.jpg,https://partyperfectcom/itemimages/1242-1.jpg,https://partyperfectcom/itemimages/2242-,CHINA_RENTALS
"6"" White Oval Plate",$0.63 ,https://partyperfect.com/itemimages/1236t.jpg,https://partyperfectcom/itemimages/1236-1.jpg,https://partyperfectcom/itemimages/2236-,CHINA_RENTALS
60 Oz White Family Style Bowl,$3.42 ,https://partyperfect.com/itemimages/8119t.jpg,https://partyperfectcom/itemimages/8119-1.jpg,https://partyperfectcom/itemimages/82,CHINA_RENTALS
"7.5"" Black Square Salad Plate",$0.68 ,https://partyperfect.com/itemimages/1232t.jpg,https://partyperfectcom/itemimages/1232-1.jpg,https://partyperfectcom/itemimages/2232-,CHINA_RENTALS
"7.5"" White Square Salad Plate",$0.68 ,https://partyperfect.com/itemimages/1226t.jpg,https://partyperfectcom/itemimages/1226-1.jpg,https://partyperfectcom/itemimages/2226-,CHINA_RENTALS
"8"" Glass Salad Plate",$0.53 ,https://partyperfect.com/itemimages/1578t.jpg,https://partyperfectcom/itemimages/1578-1.jpg,https://partyperfectcom/itemimages/2578-,CHINA_RENTALS
"9"" Glass Dinner Plate",$0.53 ,https://partyperfect.com/itemimages/1576t.jpg,https://partyperfectcom/itemimages/1576-1.jpg,https://partyperfectcom/itemimages/2576-,CHINA_RENTALS
Black Demitasse Cup,$0.48 ,https://partyperfect.com/itemimages/1247t.jpg,https://partyperfectcom/itemimages/1247-1.jpg,https://partyperfectcom/itemimages/2247-,CHINA_RENTALS
